,GPU
0,Integrated Graphics
1,Radeon
2,RTX 3050
3,Iris Xe
4,UHD
5,Iris Xe
6,Radeon
7,Iris Xe
8,UHD 620
9,RTX 2050
10,RTX 4050
11,Radeon
12,RTX 4050
13,UHD
14,RTX 4050
15,Iris Xe
16,UHD
17,Iris Xe
18,RTX 4050
19,RTX 2050
20,Iris Xe
21,Iris Xe
22,UHD
23,Radeon
24,Iris Xe
25,UHD
26,Arc
27,GTX 1650
28,RTX 2050
29,UHD
30,Radeon
31,UHD
32,GTX 1650
33,Iris Xe
34,Radeon
35,Radeon
36,UHD
37,UHD
38,UHD
39,RTX 3050
40,GTX 1650
41,UHD
42,UHD
43,UHD 605
44,Iris Xe
45,RTX 3050
46,Iris Xe
47,UHD
48,Iris Xe
49,RTX 3060
50,UHD
51,RTX 3050
52,Iris Xe
53,UHD
54,RTX 3060
55,GTX 1650 Max Q
56,Iris Xe
57,GTX 1650
58,RTX 3050 Ti
59,Integrated
60,UHD
61,Iris Xe
62,"Geforce GTX 1650 GPU, 4 GB"
63,Radeon
64,UHD
65,Radeon Vega 3
66,RTX 2050
67,                                                                                                       
68,Integrated
69,UHD
70,UHD
71,Radeon
72,RTX 3050
73,Integrated
74,RTX 3050
75,Radeon
76,Radeon
77,RTX 3050 Ti
78,"UHD GPU, 128 MB"
79,Iris Xe
80,M1
81,UHD
82,HD 6000
83,GTX 1650
84,RTX 2050
85,UHD 600
86,GTX 1650
87,UHD
88,UHD
89,Integrated
90,GTX 1650
91,UHD
92,Radeon Vega 6
93,Iris Xe
94,Iris Xe
95,GTX 1650
96,M2 Integrated
97,Radeon
98,GTX 1650
99,GTX 1650
100,GTX 1650
101,UHD
102,UHD
103,Radeon
104,Radeon
105,HD 620
106,Iris Xe
107,UHD
108,"Geforce MX150 GPU, 2 GB"
109,UHD
110,Radeon Vega 8
111,Integrated
112,UHD
113,Iris Xe
114,UHD
115,UHD
116,Iris Xe
117,Integrated
118,"Geforce GTX 1650 Max-Q GPU, 4 GB"
119,UHD
120,GTX 1650
121,GTX 1650 Ti
122,UHD
123,GTX 1650
124,Radeon
125,UHD
126,Radeon
127,Radeon
128,UHD
129,Iris Xe
130,Iris Xe
131,UHD
132,Radeon
133,UHD
134,Radeon Vega 8
135,Radeon RX Vega 10
136,Radeon
137,UHD
138,UHD
139,GTX 1650
140,UHD
141,Radeon
142,HD 520
143,Radeon
144,Iris Xe
145,RTX 3050
146,Iris Xe
147,Iris Xe
148,GTX 1650
149,UHD
150,UHD
151,UHD
152,UHD 600
153,UHD
154,"Radeon RX 5500M GPU, 4 GB"
155,UHD Graphics
156,RTX 2050
157,Radeon
158,UHD
159,RTX 2050
160,M1
161,Iris Xe
162,UHD
163,GTX 1650
164,UHD
165,GTX 3050
166,Iris Xe
167,GTX 1650
168,Radeon 610M
169,Iris Xe
170,UHD
171,Iris Xe
172,Radeon
173,"Radeon RX6500M GPU, 4 GB"
174,GTX 1650 MAX Q
175,GeForce RTX 2050
176,HD 500
177,UHD
178,UHD 620
179,UHD
180,Integrated
181,Iris Xe
182,"UHD GPU, 128 MB"
183,GTX 1650
184,Radeon Graphics
185,UHD
186,UHD
187,UHD
188,RTX 3070 Ti
189,Iris Xe
190,UHD
191,GTX 1650
192,Radeon
193,GTX 1650
194,GTX 1650
195,Radeon
196,Radeon
197,GTX 1050
198,Radeon
199,Radeon
200,RTX 4050
201,Iris Xe
202,GTX 1650
203,UHD 600
204,UHD
205,Iris Xe
206,Iris Xe
207,Iris Xe
208,GTX 1650
209,RTX 3050
210,Integrated
211,"Geforce RTX 3050 GPU, 4 GB"
212,GTX 1650 MAX Q
213,UHD
214,RTX 3050
215,RTX 3060
216,Iris Xe
217,RTX 3050
218,UHD
219,Radeon
220,UHD
221,Integrated
222,Iris Xe
223,Iris Xe
224,Radeon
225,UHD
226,Radeon
227,M2
228,RTX 2050
229,Radeon
230,Iris Xe
231,Iris Xe
232,Integrated
233,Radeon
234,Radeon
235,RTX 4050
236,GTX 1650
237,UHD
238,RTX 3050
239,RTX 3050
240,RTX 2050
241,UHD
242,UHD
243,GTX 1650
244,Integrated
245,"Radeon RX 6500M GPU, 4 GB"
246,RTX 3050
247,"Radeon RX 5600M GPU, 6 GB"
248,RTX 3050
249,Integrated
250,Iris Xe
251,Radeon
252,RTX 3050
253,UHD
254,RTX 4050
255,Radeon
256,Iris Xe
257,UHD
258,Integrated
259,Radeon
260,Radeon
261,UHD
262,UHD Graphics
263,UHD
264,Radeon
265,Iris Xe
266,Integrated
267,Radeon
268,Integrated
269,Iris Xe
270,MX450
271,Integrated
272,RTX 3060
273,Iris Xe
274,GTX 1650
275,UHD
276,Iris Xe
277,Iris Xe
278,GTX 1650
279,Iris Xe
280,Iris Xe
281,RTX 4050
282,Integrated
283,Integrated
284,UHD
285,UHD
286,GTX 1650 Ti
287,UHD
288,Iris Xe
289,Iris Xe
290,Radeon Vega 8
291,Iris Xe
292,RTX 3050
293,Radeon
294,UHD
295,Iris Xe
296,Integrated
297,Iris Xe
298,RTX 4060
299,RTX 3050
300,UHD
301,Iris Xe
302,RTX 3050
303,RTX 3060
304,RTX 3050
305,Iris Xe
306,Adreno
307,GTX 1060
308,UHD
309,Radeon
310,Iris Xe
311,MX330
312,RTX 2050
313,Integrated
314,RTX 3050
315,UHD
316,Radeon
317,MX450
318,Radeon R2
319,RTX 2050
320,Radeon
321,UHD
322,Iris X
323,Integrated
324,UHD
325,Iris Xe
326,Iris Xe
327,Radeon Vega 7
328,MX330
329,Iris Xe
330,Radeon
331,UHD
332,RTX 3050
333,Iris Xe
334,Integrated
335,UHD
336,RTX 4050
337,GTX 1650
338,Iris Xe
339,Radeon R4
340,Radeon Graphics
341,Integrated
342,Iris Xe
343,UHD
344,RTX 3050
345,Iris Xe
346,Iris Xe
347,Iris Xe
348,Iris Xe
349,UHD Graphics
350,Iris Xe
351,RTX 2050
352,UHD
353,Iris Xe
354,Radeon
355,UHD
356,RTX 3050
357,Integrated
358,Integrated UHD
359,Iris Xe Graphics
360,UHD
361,RTX 3050
362,"UHD GPU, 128 MB"
363,GTX 1650
364,UHD
365,RTX 4060
366,Iris Plus 655
367,RTX 3050
368,RTX 3050
369,UHD
370,RTX 3050 Ti
371,M2 Integrated
372,Iris Xe
373,UHD
374,RTX 3050
375,RTX 3050
376,Radeon 610M
377,RTX 3050 Ti 
378,Iris Xe
379,Integrated
380,UHD
381,UHD Graphics
382,Iris Xe
383,UHD
384,Radeon
385,Iris Xe
386,UHD
387,Integrated
388,UHD
389,Radeon
390,Radeon Graphics
391,Iris Xe
392,UHD
393,Iris Xe
394,UHD
395,RTX 3050
396,RTX 3050
397,Radeon
398,UHD
399,Iris Xe
400,RTX 4060
401,MX350
402,Iris Xe
403,Radeon
404,Radeon
405,"Radeon RX 6800M GPU, 12 GB"
406,Iris Xe
407,UHD
408,Iris Xe
409,Iris Xe
410,RTX 3050
411,Iris Xe
412,MX450
413,Integrated
414,Integrated
415,Iris Xe
416,UHD
417,Iris Plus
418,RTX 3060
419,UHD
420,Iris Xe
421,UHD
422,Iris Xe
423,Iris Xe
424,RTX 3050 Ti
425,Iris Xe
426,Iris Xe
427,MX250
428,Iris Xe
429,Radeon
430,Integrated
431,Iris Xe
432,RTX 3060
433,Iris Xe Graphics
