Price,Processor_Brand,RAM,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD
346935,4.0,32,2.2,0,18.0,178.0,7.0,2048,0
359990,4.0,32,2.2,0,18.0,178.0,7.0,2048,0
279990,4.0,32,2.2,0,18.0,175.0,7.0,1024,0
57990,4.0,8,2.7,0,17.3,74.0,7.0,512,0
77990,3.0,16,2.9,0,17.3,108.0,7.0,512,0
67990,3.0,16,2.9,1,17.3,108.0,7.0,512,0
51990,4.0,16,2.4,0,17.3,104.0,6.0,512,0
85990,3.0,8,4.2,0,17.3,108.0,7.0,512,0
129589,4.0,16,4.7,0,17.3,145.0,7.0,1024,0
90490,4.0,16,4.7,0,17.3,131.0,7.0,512,0
91990,3.0,16,4.7,0,17.3,145.0,7.0,1024,0
148990,3.0,16,4.7,0,17.3,145.0,7.0,1024,0
88990,3.0,16,4.7,0,17.3,108.0,7.0,512,0
68071,4.0,8,2.5,1,17.3,101.0,7.0,512,0
329990,4.0,16,1.1,1,17.3,104.0,6.0,1024,0
154000,3.0,16,3.1,0,17.3,145.0,7.0,1024,0
299999,4.0,32,4.7,0,17.3,169.0,7.0,2048,0
209990,3.0,16,4.8,0,17.3,146.0,7.0,1024,0
180000,4.0,16,2.6,1,17.3,158.0,7.0,512,1024
112230,3.0,16,3.3,0,17.3,108.0,7.0,512,0
112990,4.0,16,4.8,0,17.3,146.0,7.0,1024,0
389990,4.0,64,4.8,0,17.3,175.0,7.0,2048,0
76990,3.0,8,4.2,0,17.3,108.0,7.0,512,0
216990,3.0,16,4.8,0,17.3,169.0,7.0,1024,0
268965,4.0,32,4.8,0,17.3,163.0,7.0,2048,0
170000,4.0,32,4.8,0,17.3,176.0,7.0,2048,0
142890,3.0,16,4.8,0,17.3,125.0,7.0,1024,0
165990,4.0,16,1.4,0,17.3,145.0,7.0,1024,0
199990,4.0,32,2.3,0,17.3,173.0,7.0,1024,0
64990,3.0,8,3.0,1,17.3,91.0,7.0,512,0
67390,3.0,8,2.3,1,17.3,77.0,7.0,512,0
39990,3.0,8,3.0,1,17.3,77.0,7.0,512,0
54500,3.0,8,2.1,1,17.3,39.0,4.0,0,1024
68990,3.0,8,2.9,1,17.3,77.0,7.0,512,0
77898,3.0,16,4.2,0,17.3,108.0,7.0,512,0
99790,4.0,16,2.6,1,17.3,117.0,7.0,512,0
54750,3.0,8,4.0,0,17.3,77.0,7.0,512,0
110064,3.0,16,4.7,0,17.3,108.0,7.0,512,0
86926,4.0,16,4.7,0,17.3,108.0,7.0,512,0
64990,3.0,8,2.4,0,17.3,77.0,7.0,512,0
73990,4.0,16,2.5,0,17.3,108.0,7.0,512,0
106178,4.0,16,4.7,0,17.3,145.0,7.0,512,0
93446,4.0,16,4.7,0,17.3,131.0,7.0,512,0
359990,4.0,32,4.8,0,17.3,169.0,7.0,2048,0
207990,3.0,16,4.8,0,17.3,163.0,7.0,1024,0
54299,4.0,16,2.7,0,17.3,74.0,7.0,512,0
66967,3.0,16,2.9,1,17.3,117.0,7.0,256,1024
85990,4.0,8,2.5,0,17.3,108.0,7.0,512,0
420990,4.0,32,2.3,0,17.3,176.0,7.0,4098,0
39990,3.0,8,2.1,1,17.3,99.0,7.0,0,1024
114990,4.0,16,4.7,0,17.3,108.0,7.0,1024,0
59990,3.0,8,2.1,1,17.3,77.0,7.0,512,0
74990,4.0,16,2.6,1,17.3,77.0,7.0,256,1024
78990,4.0,8,2.7,1,17.3,108.0,7.0,1024,0
79990,4.0,16,2.4,1,17.3,117.0,7.0,256,1024
49671,4.0,16,2.4,0,17.3,104.0,6.0,256,1024
84990,4.0,16,4.7,0,17.3,108.0,7.0,512,0
73990,4.0,8,2.7,1,17.3,108.0,7.0,512,0
256403,4.0,16,2.6,1,17.3,173.0,7.0,256,1024
84500,4.0,16,2.3,1,17.3,108.0,7.0,512,0
71990,4.0,8,2.7,1,17.3,108.0,7.0,512,0
499373,4.0,16,2.6,1,17.3,173.0,7.0,512,0
144990,4.0,16,2.8,1,17.3,132.0,7.0,128,1024
134990,3.0,16,3.0,1,17.3,39.0,4.0,256,1024
125990,3.0,16,4.7,0,17.3,145.0,7.0,1024,0
175146,4.0,12,2.5,1,17.3,156.0,7.0,0,1024
79990,4.0,8,2.4,1,17.3,91.0,7.0,512,0
51990,4.0,16,4.2,1,17.3,104.0,6.0,256,1024
74990,4.0,8,2.6,1,17.3,91.0,7.0,256,1024
149990,4.0,16,2.3,0,17.3,163.0,7.0,1024,0
245990,4.0,32,2.5,0,17.3,163.0,7.0,1024,0
163601,4.0,12,1.8,1,17.3,89.0,7.0,128,1024
145990,4.0,16,2.2,1,17.3,136.0,7.0,256,1024
194990,4.0,32,3.4,0,17.3,162.0,7.0,1024,0
179990,4.0,16,2.6,1,17.3,138.0,7.0,1024,0
269990,4.0,32,2.4,1,17.3,166.0,7.0,2048,0
299990,4.0,32,2.6,1,17.3,173.0,7.0,1024,0
52890,4.0,8,2.7,0,17.0,74.0,7.0,512,0
319990,4.0,64,1.6,0,17.0,162.0,7.0,2048,0
331390,4.0,32,4.8,0,17.0,145.0,7.0,1024,0
177000,4.0,16,3.4,0,17.0,104.0,6.0,1024,0
119273,4.0,8,3.3,0,17.0,104.0,6.0,512,0
289990,4.0,32,5.5,0,17.0,162.0,7.0,2048,0
102849,3.0,16,3.3,0,16.6,145.0,7.0,512,0
289900,5.0,36,1.0,0,16.2,171.0,9.0,512,0
269900,5.0,16,3.4,0,16.2,172.0,9.0,1024,0
170990,5.0,16,2.3,0,16.2,141.0,9.0,1024,0
103990,3.0,16,3.1,0,16.2,131.0,7.0,512,0
62112,3.0,8,3.3,1,16.1,77.0,7.0,512,0
53999,3.0,8,3.3,1,16.1,39.0,4.0,512,0
55400,4.0,8,2.7,0,16.1,77.0,7.0,512,0
60900,4.0,16,4.2,0,16.1,77.0,7.0,512,0
